geographic_area_m49_fi,measured_item_faostat_l2,measured_element,start_year,end_year,share
246,1554,5141,1948,LAST,1
246,1556,5141,1948,LAST,1
246,1557,5141,1948,LAST,1
246,1562,5141,1948,LAST,1
246,1563,5141,1948,LAST,1
246,1564,5141,1948,LAST,1
246,1565,5141,1948,LAST,1
246,1570,5141,1948,LAST,1
246,1571,5141,1948,LAST,1
246,1590,5141,1948,LAST,1
246,1591,5166,1948,LAST,1
246,1594,5166,1948,LAST,1
246,1507,5141,1948,LAST,1
246,1523,5141,1948,LAST,1
246,1582,5520,1948,LAST,1
246,1572,5141,1948,LAST,1
246,1573,5141,1948,LAST,1
268,1501,5141,1948,LAST,1
268,1502,5141,1948,LAST,1
268,1506,5141,1948,LAST,1
268,1514,5141,1948,LAST,1
268,1515,5141,1948,LAST,1
268,1527,5141,1948,LAST,1
268,1528,5141,1948,LAST,1
268,1531,5141,1948,LAST,1
268,1532,5141,1948,LAST,1
268,1540,5141,1948,LAST,1
268,1541,5141,1948,LAST,1
268,1542,5141,1948,LAST,1
268,1544,5141,1948,LAST,1
268,1545,5141,1948,LAST,1
268,1546,5141,1948,LAST,1
268,1562,5141,1948,LAST,1
268,1563,5141,1948,LAST,1
268,1565,5141,1948,LAST,1
268,1591,5166,1948,LAST,1
268,1505,5141,1948,LAST,1
268,1518,5141,1948,LAST,1
268,1534,5520,1948,LAST,1
268,1537,5520,1948,LAST,1
268,1543,5141,1948,LAST,1
268,1554,5141,1948,LAST,1
268,1570,5141,1948,LAST,1
268,1520,5141,1948,LAST,1
268,1503,5141,1948,LAST,1
268,1504,5141,1948,LAST,1
268,1530,5141,1948,LAST,1
268,1535,5166,1948,LAST,1
268,1556,5141,1948,LAST,1
268,1572,5141,1948,LAST,1
268,1507,5141,1948,LAST,1
268,1517,5141,1948,LAST,1
268,1590,5141,1948,LAST,1
268,1594,5166,1948,LAST,1
268,1550,5520,1948,LAST,1
268,1553,5141,1948,LAST,1
268,1516,5141,1948,LAST,1
268,1557,5141,1948,LAST,1
268,1573,5141,1948,LAST,1
300,1501,5141,1948,LAST,1
300,1502,5141,1948,LAST,1
300,1503,5141,1948,LAST,1
300,1504,5141,1948,LAST,1
300,1505,5141,1948,LAST,1
300,1506,5141,1948,LAST,1
300,1507,5141,1948,LAST,1
300,1514,5141,1948,LAST,1
300,1515,5141,1948,LAST,1
300,1516,5141,1948,LAST,1
300,1517,5141,1948,LAST,1
300,1518,5141,1948,LAST,1
300,1519,5141,1948,LAST,1
300,1520,5141,1948,LAST,1
300,1523,5520,1948,LAST,1
300,1527,5141,1948,LAST,1
300,1528,5141,1948,LAST,1
300,1530,5141,1948,LAST,1
300,1531,5141,1948,LAST,1
300,1532,5141,1948,LAST,1
300,1533,5141,1948,LAST,1
300,1534,5520,1948,LAST,1
300,1540,5141,1948,LAST,1
300,1541,5141,1948,LAST,1
300,1542,5141,1948,LAST,1
300,1543,5141,1948,LAST,1
300,1545,5141,1948,LAST,1
300,1546,5141,1948,LAST,1
300,1548,5520,1948,LAST,1
300,1550,5520,1948,LAST,1
300,1553,5141,1948,LAST,1
300,1554,5141,1948,LAST,1
300,1556,5141,1948,LAST,1
300,1557,5141,1948,LAST,1
300,1562,5141,1948,LAST,1
300,1563,5141,1948,LAST,1
300,1564,5141,1948,LAST,1
300,1570,5141,1948,LAST,1
300,1571,5141,1948,LAST,1
300,1572,5141,1948,LAST,1
300,1573,5141,1948,LAST,1
300,1590,5141,1948,LAST,1
643,1501,5141,1948,LAST,1
643,1502,5141,1948,LAST,1
643,1505,5141,1948,LAST,1
643,1506,5141,1948,LAST,1
643,1507,5141,1948,LAST,1
643,1514,5141,1948,LAST,1
643,1515,5141,1948,LAST,1
643,1516,5141,1948,LAST,1
643,1517,5141,1948,LAST,1
643,1518,5141,1948,LAST,1
643,1520,5141,1948,LAST,1
643,1521,5520,1948,LAST,1
643,1523,5166,1948,LAST,1
643,1524,5520,1948,LAST,1
643,1527,5141,1948,LAST,1
643,1528,5141,1948,LAST,1
643,1531,5141,1948,LAST,1
643,1532,5141,1948,LAST,1
643,1534,5520,1948,LAST,1
643,1535,5520,1948,LAST,1
643,1540,5141,1948,LAST,1
643,1553,5141,1948,LAST,1
643,1554,5141,1948,LAST,1
643,1556,5141,1948,LAST,1
643,1562,5141,1948,LAST,1
643,1563,5141,1948,LAST,1
643,1565,5141,1948,LAST,1
643,1570,5141,1948,LAST,1
643,1571,5141,1948,LAST,1
643,1587,5141,1948,LAST,1
643,1591,5166,1948,LAST,1
643,1594,5166,1948,LAST,1
643,1582,5520,1948,LAST,1
643,1503,5141,1948,LAST,1
643,1504,5141,1948,LAST,1
643,1519,5141,1948,LAST,1
643,1530,5141,1948,LAST,1
643,1533,5141,1948,LAST,1
643,1557,5141,1948,LAST,1
643,1572,5141,1948,LAST,1
643,1590,5141,1948,LAST,1
643,1564,5141,1948,LAST,1
643,1529,5141,1948,LAST,1
643,1573,5141,1948,LAST,1
643,1588,5141,1948,LAST,1
792,1501,5141,1948,LAST,1
792,1502,5141,1948,LAST,1
792,1504,5141,1948,LAST,1
792,1505,5141,1948,LAST,1
792,1514,5141,1948,LAST,1
792,1515,5141,1948,LAST,1
792,1516,5141,1948,LAST,1
792,1517,5141,1948,LAST,1
792,1523,5141,1948,LAST,1
792,1527,5141,1948,LAST,1
792,1528,5141,1948,LAST,1
792,1531,5141,1948,LAST,1
792,1532,5141,1948,LAST,1
792,1533,5166,1948,LAST,1
792,1534,5520,1948,LAST,1
792,1535,5520,1948,LAST,1
792,1540,5141,1948,LAST,1
792,1553,5141,1948,LAST,1
792,1554,5141,1948,LAST,1
792,1556,5141,1948,LAST,1
792,1562,5141,1948,LAST,1
792,1563,5141,1948,LAST,1
792,1565,5141,1948,LAST,1
792,1570,5141,1948,LAST,1
792,1571,5141,1948,LAST,1
792,1582,5520,1948,LAST,1
792,1587,5141,1948,LAST,1
792,1591,5166,1948,LAST,1
792,1594,5166,1948,LAST,1
792,1503,5141,1948,LAST,1
792,1519,5141,1948,LAST,1
792,1520,5141,1948,LAST,1
792,1564,5141,1948,LAST,1
792,1572,5141,1948,LAST,1
792,1530,5141,1948,LAST,1
792,1550,5520,1948,LAST,1
792,1557,5141,1948,LAST,1
792,1590,5141,1948,LAST,1
792,1506,5141,1948,LAST,1
792,1507,5141,1948,LAST,1
792,1529,5141,1948,LAST,1
792,1573,5141,1948,LAST,1
792,1588,5141,1948,LAST,1
