ics,measured_item_isscfc
1515,034.4.4.2.5.2.19
1515,034.4.4.2.5.2.42
1515,034.4.4.2.5.2.51
1515,034.4.4.2.5.3.90
1515,034.4.4.2.5.4.90
1528,034.4.4.2.5.6.80
1528,034.4.4.2.5.6.95
1505,035.02.1.3.9.90
1502,034.2.4.3.39
1505,035.02.1.4.3.90
1518,035.02.1.5.3.95
1518,035.02.1.5.4.95
1531,035.02.1.5.5.95
1505,035.02.2.4.3.95
1518,035.02.2.5.3.90
1518,035.02.2.5.4.95
1531,035.02.2.5.5.90
1531,035.02.2.5.7.90
1544,035.02.2.5.9.95
1518,035.02.3.5.2.90
1531,035.02.3.5.6.90
1518,035.03.5.4.90
1553,036.0.1.3.5.40
1554,036.0.1.4.5.20
1554,036.0.1.4.5.40
1570,036.0.2.3.7.40
1571,036.0.2.4.7.40
1572,036.0.2.5.7.40
1501,034.1.4.3.10
1571,036.0.2.6.7.60
1532,037.1.1.5.5.191
1564,036.0.2.5.5.10
1501,034.1.2.1.19
1501,034.1.2.1.25
1527,034.1.2.1.61
1527,034.1.2.1.62
1540,034.1.2.1.89
1514,034.1.5.2.13
1514,034.1.5.2.18
1514,034.1.5.2.67
1514,034.1.5.2.68
1514,034.1.5.3.462
1527,034.1.5.6.15
1527,034.1.5.6.71
1527,034.1.5.6.96
1527,034.1.5.7.08
1527,034.1.5.7.15
1527,034.1.5.7.40
1527,034.1.5.7.45
1527,034.1.5.7.50
1527,034.1.5.7.63
1514,034.1.5.8.65
1515,034.2.5.2.13
1515,034.2.5.2.18
1515,034.2.5.2.67
1515,034.2.5.2.68
1528,034.2.5.6.15
1528,034.2.5.6.96
1528,034.2.5.7.15
1528,034.2.5.7.40
1528,034.2.5.7.45
1528,034.2.5.7.50
1528,034.2.5.7.63
1515,034.2.5.8.65
1516,034.3.1.5.4.17
1529,034.3.1.5.7.40
1529,034.3.1.5.7.90
1540,034.3.2.2.6.90
1517,034.4.1.5.2.68
1517,034.4.1.5.4.16
1517,034.4.1.5.4.49
1515,034.4.4.2.5.1.60
1515,034.4.4.2.5.1.90
1515,034.4.4.2.5.2.11
1515,034.4.4.2.5.2.12
1528,034.4.4.2.5.7.10
1528,034.4.4.2.5.7.90
1541,034.4.4.2.5.9.95
1544,035.02.1.5.9.90
1505,035.02.2.3.9.90
1518,035.02.1.5.1.11
1518,035.02.3.5.1.19
1518,035.03.5.3.90
1544,035.03.6.90
1544,035.03.6.95
1553,036.0.1.1.1.50
1553,036.0.1.3.1.50
1553,036.0.1.3.2.10
1553,036.0.1.3.2.20
1553,036.0.1.3.3.51
1553,036.0.1.3.3.52
1553,036.0.1.3.3.59
1554,036.0.1.4.1.50
1554,036.0.1.4.3.51
1554,036.0.1.4.3.52
1554,036.0.1.4.3.59
1554,036.0.1.4.5.50
1553,036.0.1.6.1.10
1553,036.0.1.6.1.90
1553,036.0.1.6.3.30
1553,036.0.1.6.5.20
1553,036.0.1.6.5.30
1562,036.0.2.3.4.20
1562,036.0.2.3.4.30
1562,036.0.2.3.5.95
1501,034.1.4.3.20
1502,034.2.4.3.50
1563,036.0.2.6.9.95
1502,034.2.4.3.60
1506,037.1.1.3.2.20
1506,037.1.1.4.3.251
1506,037.1.1.4.3.271
1506,037.1.1.4.3.391
1506,037.1.1.4.3.392
1506,037.1.1.4.3.393
1506,037.1.1.4.3.50
1519,037.1.1.5.2.29
1532,037.1.1.5.5.192
1532,037.1.1.5.5.196
1502,034.2.4.3.90
1532,037.1.1.5.5.197
1532,037.1.1.5.5.701
1532,037.1.1.5.6.15
1532,037.1.1.5.6.961
1532,037.1.1.5.6.969
1520,037.1.1.5.8.30
1545,037.1.1.6.94
1545,037.1.1.6.95
1515,034.2.5.1.11
1545,037.1.1.6.96
1545,037.1.1.6.99
1533,037.1.3.5.5.60
1533,037.1.3.5.5.70
1533,037.1.3.5.6.99
1515,034.2.5.1.12
1533,037.1.3.5.7.69
1533,037.1.3.5.7.90
1546,037.1.3.5.9.96
1546,037.1.3.5.9.97
1556,037.2.1.1.2.20
1556,037.2.1.1.2.901
1556,037.2.1.1.2.902
1515,034.2.5.1.13
1573,037.2.2.1.7.10
1573,037.2.2.1.7.39
1573,037.2.2.1.7.60
1515,034.2.5.1.19
1515,034.4.4.2.5.4.17
1553,036.0.1.6.5.40
1507,037.1.3.3.9.90
1528,034.2.5.6.21
1528,034.2.5.6.22
1528,034.2.5.6.61
1515,034.2.5.1.39
1528,034.2.5.6.62
1527,034.3.2.2.5.6.80
1514,034.3.2.2.5.4.17
1514,034.3.2.2.5.4.90
1530,034.4.1.5.7.10
1505,035.02.3.4.3.39
